result,number_of_fixations
6.831220260246117,12
6.841791877493309,13
6.848098329850338,12
6.850329324804606,12
6.864781249672673,12
6.8650465730142365,12
6.870824553997123,12
6.881537028615183,12
6.881661260027687,12
6.88622101259202,13
6.887051263792802,13
6.888993829606449,12
6.895302087844007,12
6.901557699938775,12
6.902746550634605,13
6.903202884190598,14
6.908699758142713,13
6.91336780621924,12
6.920652531933858,12
6.93814439564696,12
6.940590283317117,11
6.949748788834757,11
6.967069625105645,11
6.975254160656652,12
6.977312358230709,11
6.992765371275466,11
7.009592016823787,11
7.024589946248627,10
7.028335107023283,10
7.028442504323547,10
7.032343072933021,11
7.032621851272263,10
7.048339090205417,11
7.057631315715208,11
7.062269486823426,11
7.074566825357861,12
7.077059463199531,12
7.0775484007895635,13
7.084390408724812,13
7.086044228668685,14
7.094615197515578,14
7.100237684000646,15
7.101802104068727,15
7.105661804464508,15
7.107500144162496,14
7.108709296689827,13
7.123795108570692,13
7.13482220930778,13
7.137439399901614,13
7.140697669741744,12
7.14147131162888,12
7.1541377516837406,11
7.161227101112898,10
7.1735534675886825,10
7.175266521822483,10
7.19194298327364,10
7.1986350493127516,11
7.198794622499322,10
7.198969632124112,11
7.200460512359127,12
7.201123188685777,13
7.202816063434205,13
7.216090610806805,12
7.249575825608315,12
7.250922816775745,12
7.252021872577787,13
7.254530682377139,14
7.262945309323768,15
7.266716462867622,14
7.2794228161200225,15
7.283019204105651,16
7.299696210006049,16
7.303959081388726,16
7.305893218037825,16
7.31045119345598,16
7.310992190575948,16
7.3226753946461,16
7.327881277776665,16
7.348519575694249,15
7.35250858634693,16
7.353321791108131,16
7.357185484904559,17
7.365426658535517,18
7.367495688765513,18
7.373853482354715,18
7.3757019590566175,17
7.388941034363905,17
7.392257121031502,18
7.399497935647795,18
7.403029596708441,18
7.404932847995186,18
7.405127261430593,18
7.41503191635214,18
7.416376061780428,17
7.420180940681659,16
7.424243009033208,16
7.429117539073374,16
7.442666744331691,17
7.4442532968555035,17
7.4506050733508085,17
7.454408535779215,17
7.465812434010033,17
7.473706720727086,17
7.474555025815392,17
